Apr. 30, 2021   18:39:33
Amperometric i-t Curve
File: d:\research\projects\2020 inkjet multimodal sensors\on-body data\20210430 trial of 2 glucose on-body_success but noisy_press sensor next time\02_sweat stability_on body 2500s juice intake.txt
Data Source:  Experiment
Instrument Model:  CHI832D
Header: 
Note: 

Init E (V) = -0.04
Sample Interval (s) = 1
Run Time (sec) = 9.6e+4
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-7

tp = 1608.00s
ip = 5.766e-8A
Ap = 2.343e-7C

tp = 1730.00s
ip = 3.125e-8A
Ap = 2.872e-7C

Current 2:

tp = 16.00s
ip = 1.452e-6A
Ap = 1.207e-5C

tp = 1173.00s
ip = 1.634e-6A
Ap = 8.126e-6C

tp = 1453.00s
ip = 7.398e-7A
Ap = 2.091e-6C

tp = 1621.00s
ip = 3.691e-7A
Ap = 1.691e-6C

Time/sec, i1/A, i2/A

1.000e+0, -1.006e-6, -1.006e-6
2.000e+0, -1.006e-6, -1.006e-6
3.000e+0, -1.006e-6, -1.006e-6
4.000e+0, -1.006e-6, -1.006e-6
5.000e+0, -1.006e-6, -1.006e-6
6.000e+0, -1.006e-6, -1.006e-6
7.000e+0, -1.006e-6, -1.006e-6
8.000e+0, -1.006e-6, -1.006e-6
9.000e+0, -1.006e-6, -9.960e-7
1.000e+1, -1.006e-6, -9.043e-7
1.100e+1, -1.006e-6, -1.005e-6
1.200e+1, -1.006e-6, -6.043e-7
1.300e+1, 5.124e-7, -4.312e-8
1.400e+1, 5.431e-7, 1.560e-7
1.500e+1, 5.357e-7, 4.032e-7
1.600e+1, 1.004e-6, 9.073e-7
1.700e+1, 5.254e-7, 6.223e-7
1.800e+1, 5.022e-7, 5.887e-7
1.900e+1, -3.860e-8, 6.042e-7
2.000e+1, 5.788e-7, 6.571e-7
2.100e+1, 1.434e-7, 5.510e-7
2.200e+1, 1.421e-7, 4.707e-7
2.300e+1, -7.339e-9, 4.131e-7
2.400e+1, -1.170e-7, 2.891e-7
2.500e+1, 6.932e-8, 2.328e-7
2.600e+1, 1.285e-7, 2.056e-7
2.700e+1, 1.159e-7, 1.920e-7
2.800e+1, -2.076e-7, 1.516e-7
2.900e+1, 5.059e-8, 1.781e-7
3.000e+1, -2.197e-8, 1.452e-7
3.100e+1, 1.256e-8, 1.488e-7
3.200e+1, -4.711e-8, 1.179e-7
3.300e+1, -8.148e-8, 1.299e-7
3.400e+1, -2.405e-8, 1.716e-7
3.500e+1, 5.525e-8, 2.663e-7
3.600e+1, -1.088e-8, 1.152e-7
3.700e+1, -1.488e-7, 9.249e-8
3.800e+1, -1.902e-7, -2.117e-8
3.900e+1, 8.561e-8, 1.562e-9
4.000e+1, 8.067e-8, 1.610e-8
4.100e+1, 2.603e-8, -5.479e-8
4.200e+1, -3.194e-8, -3.370e-8
4.300e+1, -5.408e-8, -3.157e-8
4.400e+1, 7.300e-9, 7.717e-9
4.500e+1, -4.097e-8, -9.297e-9
4.600e+1, -1.450e-7, -1.336e-7
4.700e+1, -1.168e-7, -1.599e-7
4.800e+1, -1.941e-7, -2.477e-7
4.900e+1, -2.446e-7, -3.062e-7
5.000e+1, -2.683e-7, -3.345e-7
5.100e+1, -2.503e-7, -3.713e-7
5.200e+1, -2.575e-7, -3.751e-7
5.300e+1, -2.441e-7, -3.713e-7
5.400e+1, -2.342e-7, -3.770e-7
5.500e+1, -2.086e-7, -3.446e-7
5.600e+1, -2.016e-7, -3.265e-7
5.700e+1, -2.134e-7, -3.101e-7
5.800e+1, -2.076e-7, -2.955e-7
5.900e+1, -2.015e-7, -2.849e-7
